CT;Date;Time_of_Day;Site;forest_d;forest_g;forest_a;sec_veg;savanna;crops;pasture;d_river;d_streams;d_roads;d_crops;Datetime;Hour;HourRadians
CTCIN22_T.terrestris_29042016;2016-04-29;15:35:00;Cravo Norte;23.27;0;0;0;76.62;0;0;0;22.45;12350.94;22032.97;2016-04-29 15:35:00;15.58333333;4.079707127
CTCIN24_T.terrestris_23042016_1;2016-04-23;21:26:00;Cravo Norte;13.54;0;0;0;79.85;0;6.5;0;373.32;3734.29;21379.81;2016-04-23 21:26:00;21.43333333;5.611233545
CTCIN24_T.terrestris_23042016_2;2016-04-23;23:27:00;Cravo Norte;13.54;0;0;0;79.85;0;6.5;0;373.32;3734.29;21379.81;2016-04-23 23:27:00;23.45;6.139195644
CTCIN24_T.terrestris_05052016;2016-05-05;10:00:00;Cravo Norte;13.54;0;0;0;79.85;0;6.5;0;373.32;3734.29;21379.81;2016-05-05 10:00:00;10;2.617993878
CTCIN30_T.terrestris_22042016;2016-04-22;5:52:00;Cravo Norte;0;0;0;0;0;0;0;0;601.15;18286.91;21203.77;2016-04-22 05:52:00;5.866666667;1.535889742
CTCIN33_T.terrestris_22042016;2016-04-22;5:53:00;Cravo Norte;0;2.37;0;0;0;58.63;0;0;397.43;1909.38;21778.69;2016-04-22 05:53:00;5.883333333;1.540253065
CTCIN36_T.terrestris_29042016;2016-04-29;15:35:00;Cravo Norte;76.18;0;0;0;23.7;0;0;0;114.03;13650.17;20913.47;2016-04-29 15:35:00;15.58333333;4.079707127
CTCIN38_T.terrestris_04052016;2016-05-04;19:25:00;Cravo Norte;0;0;0;0;0;0;0;0;43.12;28814.05;18081.43;2016-05-04 19:25:00;19.41666667;5.083271446
CT01;2020-05-02;19:19:00;Cumaribo;16.595047;27.821865;0;0;72.066654;0;0;4853.328991;304.854277;341.085591;6390.825917;2020-05-02 19:19:00;19.31666667;5.057091508
CT02;2020-09-02;2:21:00;Cumaribo;0;13.037886;0;23.958456;62.892177;0;0;12010.34717;131.366298;761.635567;7328.950216;2020-09-02 02:21:00;2.35;0.615228561
CT03;2020-09-02;3:37:00;Cumaribo;0;24.732034;0;0;75.156497;0;0;10499.96816;523.242412;187.602632;3116.226421;2020-09-02 03:37:00;3.616666667;0.946841119
CT04;2020-09-02;0:11:11;Cumaribo;0;57.234226;0;0;42.654305;0;0;3963.883574;339.640784;1034.148395;1888.140471;2020-09-02 00:11:11;0.186388889;0.048796497
CT05;2020-09-02;20:22:00;Cumaribo;0;41.44045;0;0;52.855352;5.592717;0;8661.617965;98.358015;1001.584668;1020.922854;2020-09-02 20:22:00;20.36666667;5.331980865
